VideoID,Title,Channel,PublishDate,URL,Views,Likes,Comments,Duration_sec
imRppxNAtJo,তুই আমার আশিকি | Prank King | Miraz Khan | Ananna Islam | Shakil Hossain | New Bangla Natok 2026,JOBAFUL DRAMA,2026-01-13T06:02:45Z,https://youtube.com/watch?v=imRppxNAtJo,1738485,27691,834,2260.0
9cbDoRnmXE4,Arosh khan New Natok | Bangla new Natok 2024 | #adif #banglacomedydrama #banglacomady #funny,Duniya,2024-05-02T09:00:09Z,https://youtube.com/watch?v=9cbDoRnmXE4,1605199,14592,50,15.0
1KQedjwjelY,Top 10 Bangladeshi Natok Actor Who Married 2025 | New Bangla Natok 2025 #shorts,Top 10 Most Facts,2025-06-26T16:30:00Z,https://youtube.com/watch?v=1KQedjwjelY,1489361,19758,89,38.0
-bfGVxib6kM,O Durer Keu | অ দূরের কেউ | Full Natok | Farhan Ahmed Jovan | Sadia Ayman | New Bangla Natok 2026,ARK Films,2026-01-08T09:00:07Z,https://youtube.com/watch?v=-bfGVxib6kM,2135371,25078,505,2576.0
lRoj8QSD5qw,যোগ্য সন্তান | Joggo Sontan | Tawsif Mahbub | Keya Payel | Bangla Natok | New Natok 2026 |Durbeen TV,Durbeen TV,2026-01-24T11:37:13Z,https://youtube.com/watch?v=lRoj8QSD5qw,3046603,21083,505,3136.0
CgnU96_tU2E,KOBOR (কবর) | Full Drama | Bangla Thriller Natok| Raafe Ansary। Sheikh Nasir। Suraiya Nill। Rafiul।,RAFilms,2025-12-18T12:15:31Z,https://youtube.com/watch?v=CgnU96_tU2E,128899,1012,131,2402.0
2eJ92fnrpmo,বড় বোন | boro bon | mim chowdhory | mahmudul islam mithu | New Bangla Natok 2025 | An Drama,AN DRAMA,2025-11-19T08:00:06Z,https://youtube.com/watch?v=2eJ92fnrpmo,705668,2333,75,2670.0
iZbt4ANLoqo,"Pashan | পাষাণ | Saad Naovi, Trina | Rubel Anush | New Bangla Natok 2025 | Global TV Online",Global TV Online,2025-11-27T09:00:36Z,https://youtube.com/watch?v=iZbt4ANLoqo,704513,8775,756,2479.0
72ckg0ZOUoo,Nisthur | Full Natok | নিষ্ঠুর | Sabuj Ahmed | Parisha Jannat | Badhon Raj | Bangla New Natok 2025,CD Choice Entertainment,2025-12-28T09:00:07Z,https://youtube.com/watch?v=72ckg0ZOUoo,2976917,24568,528,2974.0
lmWaqLuJ2mU,Pathore Lekha Nam | পাথরে লেখা নাম | Irfan Sajjad | Sadia Ayman | Full Natok | Bangla New Natok 2026,G Series Bangla Natok,2026-01-22T13:01:22Z,https://youtube.com/watch?v=lmWaqLuJ2mU,2864942,39781,1177,2492.0
l_f9Oq-rMIY,Kalo Jadu 3 | কালো যাদু ৩ | Full Natok | Manoshi Prokrity | Tonmoy  |  Shamima | New Bangla Natok,Ruuh Drama,2026-02-03T06:00:37Z,https://youtube.com/watch?v=l_f9Oq-rMIY,1999104,20908,904,2848.0
-xv8Ql4LHcI,Jamai Babaji | জামাই বাবাজি | New Natok | Sabuj Ahmed | Saba Susmita | Bangla Natok 2026,Jago Bangla Drama,2026-01-09T09:00:03Z,https://youtube.com/watch?v=-xv8Ql4LHcI,1142274,8679,177,3004.0
37BnS71K7P8,Dhaka 26 | Full Natok | Aakash Rahman | Allen Shuvro | Tasnuva Tisha | Bangla New Natok 2026,ATV USA DRAMA,2026-02-10T13:00:10Z,https://youtube.com/watch?v=37BnS71K7P8,296405,4144,269,2518.0
BjC9yNvnAnA,মায়ের সম্পত্তি | mayer sompotti | sabuj ahmed | mahmudul islam mithu | Full Natok 2025 | An Drama,AN DRAMA,2025-12-03T08:00:15Z,https://youtube.com/watch?v=BjC9yNvnAnA,1543193,8909,169,2791.0
ZmMGtvXZ3ng,Paka Kheloyar | পাকা খেলোয়াড় | Full Natok | Mosharraf Karim | Samanta | Robena | Bangla Natok 2025,G Series Bangla Natok,2025-12-16T13:01:08Z,https://youtube.com/watch?v=ZmMGtvXZ3ng,2294072,21600,830,2676.0
FF6gr2zPiAk,গরিব ঘরে রাজপুত্র ৩  | Prank King | Miraz Khan | Ananna Islam | Jamrul Razu | New Bangla Natok 2026,BiggB Entertainment,2026-02-10T06:00:00Z,https://youtube.com/watch?v=FF6gr2zPiAk,8044177,128290,5766,2434.0
WxNwFT_4kIw,অপেক্ষা । Opekkha । Partho Sheikh । Priyontee Urbee । Full Drama ।  Bangla New Natok 2025,Captain's Drama,2025-12-04T09:01:02Z,https://youtube.com/watch?v=WxNwFT_4kIw,1794502,14363,535,2963.0
SPp4Ah92prs,গার্লফ্রেন্ডের মুডসুইং | Jovan | Totini | New Bangla Natok 2024,CMV Entertainment,2024-10-09T15:00:36Z,https://youtube.com/watch?v=SPp4Ah92prs,1535526,20116,64,7.0
Sv2B8y6jHx0,Boshikoron 3 | বশীকরণ ৩ | New Bangla Natok 2026 | Nipun Ahmed | Dimple | Suman Mehedi | New Series, Bindu Vision Drama,2026-02-04T11:00:54Z,https://youtube.com/watch?v=Sv2B8y6jHx0,347137,5067,320,1815.0
3mf5LcePqZU,হঠাৎ এলে তুমি । Hothat Ele Tumi | Ziaul Faruq Apurba | Mehazabien Chowdhury | New Bangla Natok 2025,CMV Entertainment,2025-10-29T12:34:19Z,https://youtube.com/watch?v=3mf5LcePqZU,1802260,5400,110,2007.0
zzL-dD8P5Lg,লিলি হোস্টেলের বড় আপুর ভালোবাসা! 💕Chinese Drama Bangla | #shorts #love,cdramabd,2025-08-06T07:36:47Z,https://youtube.com/watch?v=zzL-dD8P5Lg,1409828,42413,285,89.0
VCq2pI6GGxs,Boshikoron | বশীকরণ | New Series | Nipun Ahmed | Dimple | Suman Mehedi | New Bangla Natok 2026, Bindu Vision Drama,2026-01-21T11:01:00Z,https://youtube.com/watch?v=VCq2pI6GGxs,806465,7358,508,2333.0
378LSX1P6Fg,জানোয়ার ৫ । Janowar 5 । Zaher Alvi । Iffat ara tithi । Shiba Sanu । Full Drama । New Natok 2026,KING Productions,2026-01-20T09:00:00Z,https://youtube.com/watch?v=378LSX1P6Fg,5202444,58469,1222,2977.0
